,序号,月份,GPS样点,样品号,铝（Al3961）,砷（As1890）,硼（B2089）,硼（B2496）,硼（B2497）,钡（Ba4934）,铍（Be2348）,钙（Ca3179）,镉（Cd2265）,铂（Co2286）,铂（Co2378）,铬（Cr2835）,铜（Cu3273）,铁（Fe2382）,铁（Fe2395）,汞（Hg1849）,汞（Hg1942）,钾（K7664）,钾（K7698）,镁（Mg2795）,镁（Mg2802）,镁（Mg2852）,锰（Mn2605）,钼（Mo2045）,钠（Na5895）,镍（Ni2316）,磷（P1774）,磷（P1782）,铅（Pb1822）,硒（Se1960）,硅（Si2124）,硅（Si2516）,硅（Si2881）,锡（Sn2429）,锡（Sn2839）,锶（Sr2152）,锶（Sr2165）,锶（Sr3464硅）,钛（Ti3234）,钛（Ti3361）,钒（V2924）,锌（Zn2062）,汞（Hg2599）
58,59,6,S08-3,tr6-59,47.06,0.24142200000000003,0.1252,^ *****,1.116,0.5707,0.0095,14.81,0.004233333333333334,0.1167,0.3103,0.4987431000000001,0.5635000000000001,70.21,23.53,-0.0061,-0.0597,^ *****,23.03,13.52,16.34,8.213,2.489,0.0248,0.1408,0.6203000000000001,0.8524,7.186,1.765,-0.0356,0.8044,0.5625,0.1993,16.36,-0.0076,0.6241,0.836,0.419,2.236,3.794,0.3683,0.6376,
59,60,6,S08-4,tr6-60,^ *****,0.40732199999999996,0.2962,0.1844,1.597,2.287,0.0125,114.6,0.004222222222222222,0.0918,0.1668,0.8916164999999999,0.45885,157.9,^ *****,-0.0036,-0.0177,17.44,26.34,30.01,32.83,28.34,2.561,0.0256,0.3182,0.3263,5.042,23.29,1.611,-0.0198,0.7056,1.144,1.066,20.93,-0.0084,0.9615,1.84,2.123,2.835,3.227,0.3577,0.2892,
60,61,6,S08-5,tr6-61,37.66,0.35932200000000003,0.2604,^ *****,0.9238,0.6832,0.0074,37.24,0.0034999999999999996,0.08900000000000001,0.2645,0.4072392,0.49034999999999995,64.18,21.3,-0.0051,-0.162,15.2,15.8,12.76,15.52,7.767,1.48,0.0193,0.2139,0.4686,1.505,12.71,1.448,-0.0266,0.5316,0.3666,0.1231,13.45,-0.0218,1.466,1.891,1.013,1.59,2.638,0.2863,0.4381,
61,62,6,S08-6,tr6-62,34.86,0.25062199999999996,0.257,-0.0722,0.5964,0.3937,0.006,60.22,0.0023111111111111114,0.07350000000000001,0.2034,0.28107000000000004,0.4599,49.64,15.53,-0.0042,-0.1189,^ *****,22.79,11.77,14.14,6.947,4.438,0.0195,0.2366,0.3678,1.381,11.78,0.9616,-0.0137,0.5836,0.4093,0.1324,8.823,0.0199,1.638,2.097,1.122,1.195,1.998,0.2495,0.5118,
62,63,6,S08-7,tr6-63,57.86,0.21002200000000001,0.2393,^ *****,1.163,0.799,0.0115,19.13,0.0045,0.14049999999999999,0.3378,0.5490234,0.76545,71.26,24.07,-0.0067,-0.0557,^ *****,38.33,18.22,23.22,12.5,3.682,0.0319,0.1978,0.8027000000000001,1.438,12.27,1.879,-0.0333,0.4359,0.2916,0.0946,17.06,0.0147,1.044,1.369,0.7217,2.763,4.638,0.4727,0.8342,
63,64,6,S08-8,tr6-64,53.27,0.19522199999999998,0.2037,^ *****,1.066,0.7545,0.0104,21.57,0.004,0.12719999999999998,0.3079,0.49562010000000006,0.71085,71.65,23.86,-0.0066,-0.064,^ *****,35.61,18.03,22.04,11.94,4.417,0.0305,0.1459,0.6545000000000001,1.247,10.77,1.651,-0.0285,1.007,0.7606,0.3026,15.61,-0.0036,0.9187,1.204,0.678,2.468,4.046,0.4004,0.7641,
64,65,6,S08-9,tr6-65,40.02,0.291302,0.1276,^ *****,3.182,0.7775,0.0137,55.64,0.012444444444444445,0.1318,0.3027,0.7082963999999999,0.5939500000000001,91.32,37.44,-0.0064,-0.1065,13.7,14.02,6.001,6.942,3.704,5.831,0.0216,0.0804,0.5141,0.9034,6.778,1.619,-0.1029,0.9529,0.6814,0.2937,46.64,-0.1434,1.243,1.732,0.9629,1.729,2.76,0.2887,0.3372,
65,66,6,S09-1,tr6-66,^ *****,0.20612200000000003,0.2156,0.0145,2.255,2.595,0.0244,27.23,0.006377777777777777,0.1603,0.3,1.5602508,0.7714000000000002,^ *****,^ *****,-0.0042,-0.0081,^ *****,65.63,40.94,47.73,41.43,5.4,0.0416,0.3786,0.5774,3.573,16.46,1.507,-0.0345,0.4733,0.7508,0.7034,31.52,0.0213,0.3625,0.783,0.8566,5.613,6.335,0.6866,0.5755,
66,67,6,S09-2,tr6-67,45.36,0.22202200000000002,0.101,^ *****,1.166,0.4004,0.0098,7.588,0.004388888888888889,0.14079999999999998,0.3267,0.5162319000000001,0.5841500000000001,72.99,24.3,-0.0069,-0.0363,19.21,20.19,16.56,20.69,10.58,2.766,0.0237,0.1656,0.7073,0.8172,7.085,1.812,-0.0365,0.9946,0.6981,0.2589,17.08,-0.0116,0.4707,0.6424,0.3148,3.285,5.537,0.4049,0.6895,
67,68,6,S09-3,tr6-68,^ *****,0.29342199999999996,0.2326,^ *****,1.714,0.9108,0.0163,9.048,0.006488888888888889,0.1913,0.4375,0.7969896,0.9586500000000001,82.43,29.9,-0.008,-0.0639,^ *****,^ *****,20.7,26.96,14.57,5.096,0.0425,0.2776,1.0116,1.295,11.31,1.67,-0.053,1.093,0.7872,0.2959,25.13,0.0293,0.6313,0.8732,0.4274,2.768,4.619,0.6526,1.031,
68,69,6,S09-4,tr6-69,^ *****,0.191922,0.1915,0.0162,2.007,2.146,0.0202,26.26,0.005655555555555556,0.14989999999999998,0.2651,1.2994803000000001,0.7077000000000001,^ *****,^ *****,-0.0045,-0.0095,^ *****,48.83,37.15,42.77,36.72,5.699,0.0383,0.2967,0.5109,4.291,20.14,2.232,-0.0291,0.5809,0.9252,0.8561,28.07,0.0144,0.3116,0.6723,0.7331,4.114,4.708,0.5462,0.5726,
69,70,6,S09-5,tr6-70,44.09,0.20212200000000002,0.1567,^ *****,1.057,0.4931,0.0092,6.985,0.003977777777777778,0.1255,0.3056,0.48187890000000005,0.5159,69.9,23.3,-0.0071,-0.0685,^ *****,21.97,14.29,17.38,8.679,3.572,0.0251,0.1342,0.6202000000000001,0.9003,8.017,1.645,-0.0325,0.5872,0.3814,0.1291,15.63,-0.0022,0.3856,0.5284,0.2484,1.464,2.427,0.3306,0.7428,
70,71,6,S09-6,tr6-71,71.32,0.25662199999999996,0.1936,^ *****,1.539,0.8062,0.0143,8.589,0.005744444444444444,0.17809999999999998,0.4031,0.7217253000000001,0.7266000000000001,81.63,29.13,-0.0078,-0.0605,^ *****,39.04,19.26,24.43,13.07,4.791,0.0391,0.2562,0.8630000000000001,1.107,9.869,2.322,-0.047,1.029,0.7334,0.2774,22.49,0.0193,0.5327,0.7381,0.3622,2.749,4.567,0.5658,0.9717,
71,72,6,S09-7,tr6-72,^ *****,0.234222,0.173,0.041,1.595,2.863,0.0193,45.39,0.004477777777777778,0.09090000000000001,0.1921,1.2445154999999999,0.51835,161.9,^ *****,-0.0042,-0.0166,^ *****,38,31.83,35.16,29.74,1.997,0.0366,0.238,0.4449,4.189,19.53,1.783,-0.0232,0.5309,0.8621,0.7974,22.14,0.0261,0.4572,0.9162,1.036,4.728,5.323,0.6152,0.4669,
72,73,6,S09-8,tr6-73,64.53,0.27462200000000003,0.1733,^ *****,1.4,0.8452,0.0128,7.796,0.00538888888888889,0.1326,0.3641,0.6386535,0.7080500000000001,77.44,26.67,-0.0074,-0.0714,^ *****,32.49,15.65,19.38,9.718,3.519,0.0379,0.1882,0.7742,1.092,9.721,2.233,-0.045,0.6096,0.4143,0.1442,20.61,0.0157,0.4742,0.6573,0.3098,2.412,4.08,0.5197,0.8343,
73,74,6,S09-9,tr6-74,58.43,0.250922,0.1621,^ *****,1.187,0.7428,0.0115,8.071,0.004433333333333333,0.124,0.3301,0.5499603000000001,0.6468,73.06,24.3,-0.0076,-0.0668,^ *****,30.64,15.15,18.44,9.356,3.275,0.0332,0.2032,0.7275,1.067,9.302,1.856,-0.0385,0.5097,0.3399,0.1136,17.46,0.0122,0.4843,0.6607,0.3191,2.313,3.88,0.4575,0.7599,
74,75,6,S10-1,tr6-75,68.64,0.16132200000000002,0.2636,0.2049,1.004,1.586,0.0073,604.5,0.0026333333333333334,0.075,0.12229999999999999,0.537156,0.42314999999999997,112.6,148.4,-0.0026,-0.0167,18.19,27.15,22.09,24.23,20.62,7.164,0.0216,0.3125,0.2452,4.275,20.14,0.9408,-0.0064,0.7193,1.163,1.07,12.35,-0.0166,1.734,3.219,3.778,1.828,2.107,0.1802,0.3503,
75,76,6,S10-2,tr6-76,^ *****,0.188122,0.2905,0.1348,1.963,3.018,0.0222,71.92,0.0055,0.15009999999999998,0.2721,1.470933,0.805,^ *****,^ *****,-0.0041,-0.009,^ *****,^ *****,44.2,51.87,45.81,5.64,0.0412,0.3236,0.5652,4.617,21.54,2.111,-0.027,0.5329,0.8599,0.7909,26.48,0.0256,0.7832,1.526,1.74,6.245,7.046,0.659,0.5828,
76,77,6,S10-3,tr6-77,55.96,0.18522199999999997,0.134,^ *****,0.7871,0.8092,0.0075,35.11,0.003222222222222222,0.096,0.2327,0.5758812000000001,0.5271,74.82,26,-0.0061,-0.0389,^ *****,36.27,19.78,24.4,13.76,4.72,0.0232,0.1782,0.4894,1.065,8.358,1.273,-0.0255,0.5617,0.2132,0.0652,11.37,-0.0101,0.7953,1.04,0.5637,1.966,2.938,0.2841,^ *****,
77,78,6,S10-4,tr6-78,29.72,0.22172200000000003,0.0712,^ *****,0.758,0.3302,0.0066,40.87,0.0029444444444444444,0.08940000000000001,0.23929999999999998,0.3500883,0.3591,59.98,18.87,-0.0047,-0.0414,14.97,15.46,12.35,14.96,7.205,2.181,0.0147,0.1095,0.4487,0.5222,4.503,1.142,-0.0235,0.5214,0.3393,0.111,11.37,-0.0185,0.7692,1.012,0.5122,1.69,2.814,0.2165,0.5193,
78,79,6,S10-5,tr6-79,32.44,0.271222,0.0924,^ *****,0.8269,0.3925,0.0071,56.64,0.0032666666666666664,0.0946,0.254,0.3838167,0.40985,61.22,19.53,-0.0044,-0.0504,17.58,18.18,13.68,16.56,8.201,2.69,0.0152,0.136,0.4688,0.6202,5.363,1.257,-0.0261,0.462,0.3077,0.0974,12.39,-0.0128,1.11,1.45,0.748,2.081,3.506,0.2538,0.4676,
79,80,6,S10-6,tr6-80,18.93,0.310722,0.0104,^ *****,0.3827,0.2033,0.0039,12.12,0.0005,0.0178,0.1272,0.18956610000000002,0.182,30.59,9.438,-0.0058,-0.0206,^ *****,10.81,6.575,7.924,3.812,1.071,0.0042,0.0576,0.0886,0.1161,0.9543,0.2049,-0.0077,0.103,0.1906,0.0465,5.786,-0.017,0.0993,0.132,0.1772,1.129,1.841,0.1357,0.0988,
80,81,6,S10-7,tr6-81,26.34,0.253322,0.243,-0.0462,0.5075,0.6218,0.0052,168.9,0.002111111111111111,0.0641,0.17729999999999999,0.2554614,0.51695,47.17,14.09,-0.0016,-0.0905,^ *****,21.76,12.72,15.41,7.92,4.374,0.0192,0.2716,0.3436,0.672,5.616,0.7827,-0.0094,0.905,0.6358,0.2287,7.59,0.0055,2.807,3.595,1.977,1.174,1.927,0.1919,0.4788,
81,82,6,S10-8,tr6-82,50.05,0.410922,0.1135,^ *****,1.363,0.6743,0.0109,12.35,0.0051,0.1268,0.3504,0.5977422000000001,0.5334,79.35,27.35,-0.0068,-0.0869,^ *****,21.21,12.97,15.59,7.753,2.479,0.0227,0.1552,0.6446000000000001,0.7855,6.944,1.056,-0.0432,0.5826,0.4009,0.1444,20.04,-0.0243,0.5054,0.6976,0.3414,1.805,3.009,0.3646,0.7013,
82,83,6,S10-9,tr6-83,39.69,0.240022,0.2994,-0.0215,0.5831,0.6162,0.0071,46.68,0.0023666666666666667,0.0746,0.1971,0.29668500000000003,0.6709499999999999,49.68,15.23,-0.0044,-0.092,^ *****,24.7,16.38,20.35,10.58,0.9621,0.058,0.1855,0.4633,0.8964,8.07,0.9195,-0.0193,1.106,0.7936,0.2922,8.7,-0.0093,1.792,2.298,1.239,2.64,4.459,0.309,0.5797,
83,84,6,S11-1,tr6-84,^ *****,0.160322,0.2109,0.155,0.9131,1.315,0.0099,89.08,0.0023666666666666667,0.06520000000000001,0.12309999999999999,0.7132932000000001,0.33425000000000005,108.8,138.8,-0.0035,-0.0195,18.47,27.56,20.81,22.41,18.08,1.197,0.0241,0.3573,0.2738,6.445,29.65,0.932,-0.0059,0.6794,1.104,1.022,11.58,0.0084,0.6461,1.221,1.405,3.264,3.682,0.3352,0.305,
84,85,6,S11-2,tr6-85,51.75,0.128422,0.1832,0.108,0.132,0.6806,^ *****,^ *****,0.001011111111111111,0.060200000000000004,0.0623,0.212364,0.32795,65.84,38.83,-0.0064,-0.0237,^ *****,26.05,12.82,15.34,^ *****,0.9895,0.0183,0.1759,0.3348,1.557,2.349,0.143,-0.008,0.9906,0.927,0.4337,1.941,0.0309,0.1166,0.567,0.4257,1.438,2.195,0.3037,0.4343,
85,86,6,S11-3,tr6-86,40.5,0.22812200000000002,0.2081,^ *****,0.7811,0.5238,0.0077,59.98,0.0031222222222222224,0.106,0.25529999999999997,0.39412260000000005,0.5768,60.55,19.15,-0.0051,-0.0725,^ *****,24.33,17.72,22.24,11.7,3.32,0.0244,0.1793,0.55,0.5493,4.986,1.153,-0.0215,0.4862,0.3293,0.1072,11.7,0.0049,1.18,1.533,0.8059,2.397,4.036,0.3488,0.6236,
86,87,6,S11-4,tr6-87,^ *****,0.320722,0.2352,0.0495,2.045,3.012,0.0193,314.1,0.006022222222222222,0.1371,0.2448,1.3432023000000002,0.5656000000000002,176.9,^ *****,-0.0036,-0.0092,^ *****,^ *****,39.18,45.22,40.45,6.996,0.0426,0.3533,0.4657,5.77,26.58,1.226,-0.0293,0.4855,0.7834,0.7263,28.23,-0.0115,1.278,2.447,2.846,6.368,7.174,0.5512,0.5023,
87,88,6,S11-5,tr6-88,30.32,0.190322,0.1496,^ *****,0.7395,0.4419,0.0061,28.51,0.0028777777777777773,0.0795,0.2282,0.3432177,0.4536,59.62,18.7,-0.006,-0.0844,18.63,19.47,13.03,15.74,7.621,3.125,0.0243,0.1098,0.4359,0.993,9.425,1.084,-0.0221,1.11,0.7739,0.286,11.1,-0.0102,0.6855,0.8923,0.4492,1.727,2.805,0.228,0.6762,
88,89,6,S11-6,tr6-89,41.7,0.314322,0.1378,^ *****,1.03,0.5176,0.0085,21.53,0.0038888888888888883,0.1066,0.2945,0.4675131,0.5222,69.83,22.82,-0.0066,-0.0623,^ *****,24.25,14.04,17.23,8.458,3.204,0.0259,0.1922,0.5778000000000001,0.7672,7.147,1.485,-0.0325,0.7214,0.501,0.1806,15.25,-0.0076,0.5688,0.7612,0.382,2.593,4.274,0.3358,0.6393,
89,90,6,S11-7,tr6-90,^ *****,0.142622,0.2342,0.1737,1.029,1.36,0.0105,90.14,0.0027111111111111108,0.0692,0.1286,0.7217253000000001,0.4921,117.8,153.3,-0.0034,-0.0158,^ *****,36.76,29.38,32,26.73,3.337,0.0268,0.2903,0.2831,6.317,29.18,1.037,-0.0099,0.6711,1.094,1.006,13.04,-0.0023,0.6261,1.184,1.373,3.736,4.185,0.3374,0.5543,
90,91,6,S11-8,tr6-91,18.9,0.129322,0.2076,0.0536,0.2663,0.2107,0.0036,57.58,0.0011333333333333334,0.035100000000000006,0.1073,0.18519389999999997,0.43574999999999997,29.49,8.201,-0.0032,-0.1704,12.97,13.09,8.406,9.665,4.465,0.5166,0.0322,0.1221,0.23829999999999998,0.6133,5.451,0.82,0.0158,0.9432,0.6732,0.2414,4.109,-0.0107,0.9314,1.194,0.6297,0.8905,1.469,0.1403,0.3353,
91,92,6,S11-9,tr6-92,26.47,0.15892199999999998,0.217,-0.0024,0.4079,0.2477,0.0045,33.58,0.0015555555555555557,0.0495,0.1484,0.20486879999999996,0.32409999999999994,40.65,11.79,-0.0045,-0.1487,14.97,15.43,9.246,10.81,5.052,0.6503,0.0168,0.1898,0.3149,0.9904,9.162,0.6129,-0.0122,1.245,0.9044,0.334,6.164,-0.017,1.024,1.31,0.6957,1.428,2.327,0.2013,0.3305,
92,93,6,S12-1,tr6-93,^ *****,0.17542200000000002,0.1769,0.0344,1.701,2.266,0.0193,31.03,0.004755555555555555,0.12589999999999998,0.2271,1.2301497000000001,0.66605,167.1,^ *****,-0.0038,-0.0094,^ *****,46.58,37.73,43.22,37.36,3.727,0.0374,0.2395,0.503,4.101,18.97,1.305,-0.0254,0.7083,1.147,1.057,23.66,0.0117,0.4053,0.8273,0.9268,5.308,5.964,0.5558,0.5339,
93,94,6,S12-2,tr6-94,41.86,0.162122,0.0758,^ *****,1.021,0.4719,0.0087,4.551,0.0038111111111111106,0.1169,0.3063,0.4700115,0.413,72.8,23.35,-0.0067,-0.0339,^ *****,20.39,14.15,16.98,8.387,3.763,0.0223,0.1153,0.5961000000000001,0.2991,2.875,1.421,-0.0306,0.488,0.3162,0.1073,15.3,-0.0043,0.2789,0.3949,0.1798,1.094,1.804,0.303,0.5926,
94,95,6,S12-3,tr6-95,58.67,0.145422,0.1192,-0.0134,0.149,0.7307,^ *****,7.854,0.0019111111111111113,0.1097,0.0444,0.2620197,0.30029999999999996,101.5,61.61,-0.0074,-0.0147,^ *****,27.64,18.45,22.14,11.93,2.653,0.0179,0.1287,0.503,0.677,1.177,1.1752,-0.0201,0.9856,0.8944,0.4271,3.639,0.038,0.1037,0.4314,0.2925,1.222,1.93,0.3748,0.5085,
95,96,6,S12-4,tr6-96,^ *****,0.302622,0.199,-0.061,2.716,3.224,0.0261,56.32,0.007911111111111112,0.1435,0.2959,1.752003,0.81515,^ *****,^ *****,-0.0054,-0.0149,^ *****,54.24,35.31,39.42,33.98,7.283,0.0471,0.3173,0.5486000000000001,6.542,30.09,1.067,-0.0414,0.6939,1.119,1.038,38.62,0.0327,0.4864,1.031,1.15,4.504,5.079,0.7402,0.6128,
96,97,6,S12-5,tr6-97,51.58,0.345522,0.1194,^ *****,1.138,0.6986,0.0102,18.45,0.004222222222222222,0.0949,0.3095,0.5321592,0.5145000000000001,75.35,24.59,-0.007,-0.1347,17.13,17.42,12.41,14.68,7.197,2.636,0.029,0.1504,0.6015,0.5649,5.596,1.571,-0.0327,0.5103,0.3478,0.1234,16.95,-0.0096,0.7684,1.018,0.5276,1.922,3.109,0.3998,0.6661,
97,98,6,S12-6,tr6-98,47.54,0.22392199999999998,0.1156,^ *****,0.8293,0.6796,0.0086,15.61,0.003233333333333333,0.0769,0.2506,0.41379750000000004,0.48230000000000006,63.67,20.33,-0.0063,-0.1596,16.55,16.79,11.57,13.58,6.501,1.261,0.0252,0.1319,0.5537000000000001,0.4792,4.579,1.22,-0.0261,0.5016,0.342,0.1156,12.47,-0.0077,0.6996,0.9169,0.4672,1.978,3.264,0.4005,0.5818,
98,99,6,S12-7,tr6-99,50.6,0.215622,0.1485,^ *****,0.986,0.5476,0.0096,8.384,0.003766666666666667,0.1134,0.2907,0.474696,0.5201,70.56,22.99,-0.0069,-0.0538,^ *****,27.12,14.9,17.73,8.914,2.763,0.0326,0.1691,0.6133000000000001,0.5214,4.992,1.405,-0.03,0.4805,0.325,0.1111,14.61,0.0002,0.4692,0.6322,0.3122,2.577,4.203,0.3941,0.7268,
99,100,6,S12-8,tr6-100,43.57,0.170922,0.114,^ *****,0.8485,0.46,0.0088,6.517,0.0031444444444444445,0.1037,0.2648,0.4047408,0.49455000000000005,65.14,20.74,-0.0069,-0.0461,^ *****,21.24,14.49,17.54,8.465,1.533,0.0248,0.1389,0.5764,0.3763,3.479,1.22,-0.0274,0.5804,0.4028,0.1413,12.69,-0.008,0.4639,0.6207,0.309,2.576,4.275,0.3756,0.6807,
100,101,6,S12-9,tr6-101,44.43,0.172422,0.1101,^ *****,0.8034,0.4451,0.0082,6.289,0.0030000000000000005,0.1002,0.25529999999999997,0.3953718,0.4599,63.27,19.94,-0.0069,-0.0456,^ *****,20.41,13.67,16.29,7.989,1.69,0.0238,0.1202,0.557,0.3798,3.561,1.169,-0.0255,0.9344,0.6585,0.2454,12.04,-0.007,0.451,0.6031,0.297,2.463,4.025,0.3475,0.6121,
101,102,6,S13-1,tr6-102,^ *****,0.250822,0.1823,-0.0585,2.542,3.58,0.0283,26.23,0.007322222222222222,0.16069999999999998,0.3159,1.8138384000000003,0.9635499999999999,^ *****,^ *****,-0.0052,-0.0108,^ *****,57.18,39.98,46.21,39.52,4.948,0.0476,0.3127,0.6237,4.511,20.78,1.523,-0.0387,0.498,0.7986,0.7365,36.19,0.0383,0.3025,0.6891,0.7416,5.483,6.216,0.7885,0.6541,
102,103,6,S13-2,tr6-103,64.63,0.275122,0.1521,^ *****,1.329,0.7345,0.0124,11.12,0.0047666666666666664,0.1194,0.3369,0.627723,0.6797,83,27.7,-0.0075,-0.0795,^ *****,28.18,15.11,18,9.11,3.196,0.0354,0.1607,0.6871,0.3667,3.676,1.647,-0.0397,0.8439,0.6072,0.2403,19.52,-0.0072,0.5943,0.8009,0.4134,2.064,3.322,0.4623,0.722,
103,104,6,S13-3,tr6-104,57.33,0.231322,0.1554,^ *****,1.104,0.6745,0.0106,12.04,0.0041,0.1218,0.3108,0.5490234,0.5838,77.16,24.83,-0.0076,-0.0807,^ *****,27.66,15.15,18.14,9.199,4.172,0.0329,0.196,0.6405000000000001,0.3918,4.157,1.438,-0.0318,0.7614,0.3517,0.1238,16.41,0.0102,0.5749,0.7649,0.3861,2.261,3.674,0.4211,0.767,
104,105,6,S13-4,tr6-105,^ *****,0.204122,0.1712,-0.0051,1.982,2.062,0.0206,25.87,0.005633333333333334,0.14409999999999998,0.261,1.4228388,0.6706000000000002,^ *****,^ *****,0.0035,-0.003,^ *****,50.16,36.61,40.97,35.25,6.39,0.0429,0.2607,0.5187,4.731,21.65,2.236,-0.0273,0.6911,1.11,1.033,27.9,0.0258,0.3017,0.6572,0.7162,4.916,5.624,0.5846,0.5441,
105,106,6,S13-5,tr6-106,^ *****,0.16142200000000004,0.1872,0.0639,1.548,2.117,0.0188,21.47,0.004299999999999999,0.127,0.2296,1.2326481,0.6202,158.5,^ *****,-0.0041,-0.0078,^ *****,51.14,36.52,42.24,35.79,1.976,0.0382,0.2839,0.4848,3.055,13.86,1.739,-0.0235,0.5202,0.837,0.7717,21.3,0.0124,0.3423,0.7059,0.7899,6.606,7.55,0.6316,0.4816,
106,107,6,S13-6,tr6-107,62.42,0.298022,0.1413,^ *****,1.579,0.8999,0.0129,13.34,0.005900000000000001,0.13749999999999998,0.3828,0.7257852,0.71435,86.74,29.9,-0.0089,-0.1032,^ *****,25.09,14.87,17.94,8.87,7.269,0.0373,0.2069,0.7298,0.506,5.205,2.034,-0.0433,0.5072,0.3363,0.1231,23.35,0.0189,0.6367,0.8677,0.4387,1.964,3.186,0.4732,0.8645,
107,108,6,S13-7,tr6-108,^ *****,0.181022,0.1595,-0.0005,1.821,2.53,0.0197,48.83,0.005222222222222223,0.12539999999999998,0.2372,1.2707487,0.76825,172.3,^ *****,-0.0038,-0.0136,^ *****,45.71,33.75,38.01,32.74,4.388,0.0381,0.3087,0.5361,5.691,26.01,1.069,-0.0253,0.8737,1.425,1.315,25.66,0.0251,0.45,0.9145,1.029,3.161,3.563,0.5555,0.5784,
108,109,6,S13-8,tr6-109,55.21,0.17892200000000003,0.1223,^ *****,0.8785,0.5146,0.0095,7.028,0.0031777777777777776,0.0915,0.2708,0.43409700000000007,0.4672500000000001,68.01,21.06,-0.0072,-0.0635,^ *****,22.92,13,15.66,7.556,1.936,0.0286,0.1597,0.5319,0.3535,3.528,1.184,-0.0291,0.7911,0.5351,0.1967,13.12,0.0024,0.4276,0.5724,0.2793,1.79,2.934,0.3891,0.5967,
109,110,6,S13-9,tr6-110,50.99,0.199222,0.1488,^ *****,0.9747,0.601,0.0095,13.83,0.0035666666666666663,0.1048,0.2912,0.47250990000000004,0.5474,71.3,22.9,-0.0064,-0.1027,^ *****,24.25,14.15,17.22,8.501,3.906,0.0354,0.1482,0.5664,0.5204,5.137,1.297,-0.0281,0.7411,0.5102,0.1896,14.42,0.0104,0.6598,0.8694,0.4496,1.802,2.978,0.3718,0.7686,
110,111,6,S14-1,tr6-111,60.27,0.805222,0.0955,^ *****,2.51,0.7587,0.015,10.6,0.008844444444444446,0.1464,0.4291,1.1046051000000003,0.53375,103.8,37.06,-0.0091,-0.0738,18.49,18.52,13.33,14.93,7.823,6.242,0.0288,0.158,0.6433000000000001,0.2297,2.415,1.776,-0.0725,0.6049,0.4135,0.1755,36.99,-0.0669,0.4752,0.7084,0.3482,2.338,3.634,0.4792,0.647,
111,112,6,S14-2,tr6-112,42.52,0.285022,0.1425,^ *****,1.15,0.6208,0.0091,29.93,0.0041444444444444445,0.1063,0.27799999999999997,0.5387175000000001,0.6391,80.84,25.39,-0.0079,-0.1751,17.82,17.95,12.33,14.21,7.17,7.79,0.0241,0.1798,0.6871,0.3535,4.141,1.31,-0.0278,0.8294,0.6008,0.2431,16.89,0.0045,0.9691,1.26,0.6967,1.54,2.383,0.2836,0.7437,
112,113,6,S14-3,tr6-113,64.4,0.316322,0.1611,^ *****,1.439,1.025,0.0121,25.77,0.005177777777777777,0.16369999999999998,0.3385,0.7154793,0.98035,91.8,29.78,-0.0084,-0.1534,^ *****,23.99,15.15,17.76,9.272,9.716,0.0346,0.2043,0.7314,0.1911,2.081,1.481,-0.0346,0.8528,0.5997,0.2506,20.77,0.015,0.8863,1.177,0.6638,2.061,3.203,0.4284,1.002,
113,114,6,S14-4,tr6-114,46.44,0.20472200000000002,0.0791,^ *****,0.9301,0.4317,0.0089,5.661,0.003411111111111111,0.0993,0.2601,0.44034299999999993,0.51415,72.34,22.91,-0.0069,-0.0433,^ *****,20.33,13.28,15.26,7.669,2.642,0.0246,0.126,0.5133000000000001,0.2064,2.026,1.23,-0.0287,1.04,0.762,0.31,13.7,-0.0077,0.3365,0.4591,0.2273,1.979,3.129,0.2935,0.5729,
114,115,6,S14-5,tr6-115,47.42,0.214522,0.0786,^ *****,1.011,0.4541,0.0095,6.636,0.003666666666666667,0.11120000000000001,0.2746,0.4881249,0.5348,75.66,23.54,-0.0072,-0.0468,19.77,20.23,14.28,16.78,8.671,3.083,0.0258,0.1424,0.5735,0.1767,1.893,1.221,-0.0302,0.5015,0.345,0.1262,14.96,-0.0159,0.3619,0.4934,0.2455,1.997,3.209,0.3052,0.6578,
115,116,6,S14-6,tr6-116,46.86,0.21882199999999996,0.1038,^ *****,0.9855,0.4524,0.0094,6.101,0.003533333333333333,0.1027,0.2701,0.4690746,0.47914999999999996,75.36,23.54,-0.0073,-0.0435,19.45,19.67,13.52,15.73,7.904,2.809,0.0247,0.1241,0.5483,0.1797,1.917,1.184,-0.0295,1.048,0.7307,0.2944,14.53,-0.0164,0.3483,0.4748,0.2366,1.786,2.882,0.3008,0.6228,
116,117,6,S14-7,tr6-117,64.06,0.18152200000000002,0.1032,-0.0419,0.1505,0.7204,^ *****,5.686,0.001988888888888889,0.1159,0.0435,0.2688903,0.36784999999999995,106.8,66.06,-0.0079,-0.0138,^ *****,23.83,17.08,19.47,11.22,2.733,0.0214,0.1498,0.5609000000000001,0.5822,0.9665,0.2262,-0.0234,0.8442,0.7731,0.3658,4.052,0.0435,0.0881,0.3764,0.247,1.938,3.0,0.3973,0.5368,
